"By gender",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"By gender",Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person),Economically active population (Thousand Person)
"Female",9104,9313,9504,9442,9733,9842,10003,10118,10207,10153,10335,10520,10704,10862,11229,11426,11583,11773,11893,12097,12007,12186,12546,12817
