"By variant(1)","By province(1)","By age(1)",2022,2025,2030,2035,2040,2045,2050,2052
"Medium","Seoul","35 Years",0.06200,0.04473,0.05772,0.07158,0.07541,0.07424,0.07424,0.07424
"Medium","Seoul","36 Years",0.05512,0.04092,0.05355,0.06711,0.07145,0.07030,0.07030,0.07030
"Medium","Seoul","37 Years",0.04281,0.03501,0.04646,0.05882,0.06356,0.06316,0.06316,0.06316
"Medium","Seoul","38 Years",0.03444,0.02798,0.03750,0.04783,0.05266,0.05371,0.05371,0.05371
"Medium","Seoul","39 Years",0.02554,0.02086,0.02801,0.03578,0.04031,0.04265,0.04314,0.04314
"Medium","Seoul","40 Years",0.01796,0.01451,0.01925,0.02441,0.02824,0.03133,0.03267,0.03267
"Medium","Seoul","41 Years",0.01183,0.00940,0.01210,0.01504,0.01792,0.02111,0.02329,0.02329
"Medium","Seoul","42 Years",0.00711,0.00567,0.00693,0.00828,0.01018,0.01290,0.01559,0.01559
"Medium","Seoul","43 Years",0.00393,0.00318,0.00360,0.00403,0.00510,0.00707,0.00979,0.00979
"Medium","Seoul","44 Years",0.00169,0.00166,0.00169,0.00172,0.00223,0.00343,0.00528,0.00575
"Medium","Seoul","45 Years",0.00058,0.00080,0.00073,0.00064,0.00083,0.00145,0.00253,0.00316
"Medium","Seoul","46 Years",0.00016,0.00036,0.00047,0.00059,0.00026,0.00052,0.00106,0.00140
"Medium","Seoul","47 Years",0.00014,0.00015,0.00013,0.00011,0.00007,0.00016,0.00038,0.00054
"Medium","Seoul","48 Years",0.00001,0.00006,0.00006,0.00006,0.00001,0.00004,0.00012,0.00018
"Medium","Seoul","49 Years",0.00000,0.00002,0.00002,0.00001,0.00001,0.00001,0.00003,0.00005
"Medium","Busan","TFR",0.72,0.58,0.74,0.90,0.97,0.98,0.99,1.00
"Medium","Busan","15 Years",0.00008,0.00001,0.00009,0.00017,0.00020,0.00020,0.00020,0.00020
"Medium","Busan","16 Years",0.00008,0.00002,0.00016,0.00029,0.00034,0.00034,0.00034,0.00034
"Medium","Busan","17 Years",0.00016,0.00005,0.00027,0.00049,0.00058,0.00058,0.00058,0.00058
"Medium","Busan","18 Years",0.00030,0.00010,0.00046,0.00082,0.00096,0.00096,0.00096,0.00096
"Medium","Busan","19 Years",0.00072,0.00020,0.00077,0.00134,0.00157,0.00157,0.00157,0.00157
"Medium","Busan","20 Years",0.00165,0.00041,0.00128,0.00215,0.00250,0.00250,0.00250,0.00250
"Medium","Busan","21 Years",0.00173,0.00078,0.00207,0.00337,0.00389,0.00389,0.00389,0.00389
"Medium","Busan","22 Years",0.00277,0.00143,0.00329,0.00516,0.00592,0.00592,0.00592,0.00592
"Medium","Busan","23 Years",0.00274,0.00253,0.00511,0.00772,0.00877,0.00877,0.00877,0.00877
"Medium","Busan","24 Years",0.00563,0.00428,0.00774,0.01125,0.01266,0.01266,0.01266,0.01266
"Medium","Busan","25 Years",0.00749,0.00692,0.01140,0.01594,0.01777,0.01777,0.01777,0.01777
"Medium","Busan","26 Years",0.01044,0.01069,0.01628,0.02195,0.02423,0.02423,0.02423,0.02423
"Medium","Busan","27 Years",0.01468,0.01575,0.02247,0.02929,0.03205,0.03205,0.03205,0.03205
"Medium","Busan","28 Years",0.02372,0.02210,0.02991,0.03784,0.04104,0.04104,0.04104,0.04104
"Medium","Busan","29 Years",0.03929,0.02951,0.03829,0.04721,0.05082,0.05082,0.05082,0.05082
"Medium","Busan","30 Years",0.05290,0.03740,0.04701,0.05678,0.06073,0.06073,0.06073,0.06073
"Medium","Busan","31 Years",0.06942,0.04496,0.05545,0.06614,0.06993,0.06993,0.06993,0.06993
"Medium","Busan","32 Years",0.07805,0.05114,0.06251,0.07410,0.07743,0.07743,0.07743,0.07743
"Medium","Busan","33 Years",0.07876,0.05497,0.06714,0.07957,0.08228,0.08228,0.08228,0.08228
"Medium","Busan","34 Years",0.07600,0.05574,0.06849,0.08153,0.08450,0.08375,0.08375,0.08375
"Medium","Busan","35 Years",0.06591,0.05322,0.06611,0.07933,0.08273,0.08148,0.08148,0.08148
"Medium","Busan","36 Years",0.05429,0.04778,0.06014,0.07287,0.07678,0.07560,0.07560,0.07560
"Medium","Busan","37 Years",0.04315,0.04026,0.05135,0.06279,0.06712,0.06675,0.06675,0.06675
"Medium","Busan","38 Years",0.03097,0.03181,0.04093,0.05037,0.05484,0.05596,0.05596,0.05596
"Medium","Busan","39 Years",0.02456,0.02352,0.03029,0.03730,0.04152,0.04394,0.04445,0.04445
"Medium","Busan","40 Years",0.01626,0.01626,0.02068,0.02527,0.02886,0.03202,0.03338,0.03338
"Medium","Busan","41 Years",0.01039,0.01049,0.01295,0.01550,0.01822,0.02144,0.02364,0.02364
"Medium","Busan","42 Years",0.00547,0.00631,0.00739,0.00851,0.01032,0.01306,0.01576,0.01576
"Medium","Busan","43 Years",0.00298,0.00354,0.00383,0.00414,0.00517,0.00714,0.00987,0.00987
"Medium","Busan","44 Years",0.00180,0.00184,0.00180,0.00176,0.00225,0.00346,0.00532,0.00579
"Medium","Busan","45 Years",0.00044,0.00089,0.00078,0.00065,0.00084,0.00146,0.00254,0.00317
"Medium","Busan","46 Years",0.00026,0.00040,0.00050,0.00061,0.00026,0.00053,0.00107,0.00141
"Medium","Busan","47 Years",0.00000,0.00017,0.00014,0.00012,0.00007,0.00016,0.00038,0.00054
"Medium","Busan","48 Years",0.00004,0.00006,0.00006,0.00007,0.00001,0.00004,0.00012,0.00018
"Medium","Busan","49 Years",0.00000,0.00002,0.00002,0.00001,0.00002,0.00001,0.00003,0.00005
"Medium","Daegu","TFR",0.76,0.64,0.81,0.98,1.05,1.07,1.08,1.08
"Medium","Daegu","15 Years",0.00000,0.00000,0.00005,0.00011,0.00013,0.00013,0.00013,0.00013
"Medium","Daegu","16 Years",0.00000,0.00001,0.00011,0.00022,0.00027,0.00027,0.00027,0.00027
"Medium","Daegu","17 Years",0.00039,0.00003,0.00021,0.00040,0.00049,0.00049,0.00049,0.00049
"Medium","Daegu","18 Years",0.00045,0.00007,0.00038,0.00072,0.00086,0.00086,0.00086,0.00086
"Medium","Daegu","19 Years",0.00036,0.00015,0.00068,0.00123,0.00146,0.00146,0.00146,0.00146
"Medium","Daegu","20 Years",0.00076,0.00033,0.00117,0.00206,0.00243,0.00243,0.00243,0.00243
"Medium","Daegu","21 Years",0.00203,0.00067,0.00198,0.00335,0.00391,0.00391,0.00391,0.00391
"Medium","Daegu","22 Years",0.00298,0.00131,0.00327,0.00530,0.00613,0.00613,0.00613,0.00613
"Medium","Daegu","23 Years",0.00384,0.00243,0.00524,0.00813,0.00931,0.00931,0.00931,0.00931
"Medium","Daegu","24 Years",0.00634,0.00428,0.00815,0.01211,0.01371,0.01371,0.01371,0.01371
"Medium","Daegu","25 Years",0.00903,0.00717,0.01227,0.01746,0.01956,0.01956,0.01956,0.01956
"Medium","Daegu","26 Years",0.01213,0.01139,0.01782,0.02435,0.02697,0.02697,0.02697,0.02697
"Medium","Daegu","27 Years",0.02011,0.01715,0.02493,0.03279,0.03595,0.03595,0.03595,0.03595
"Medium","Daegu","28 Years",0.03104,0.02445,0.03348,0.04257,0.04622,0.04622,0.04622,0.04622
"Medium","Daegu","29 Years",0.04674,0.03298,0.04308,0.05320,0.05726,0.05726,0.05726,0.05726
"Medium","Daegu","30 Years",0.05993,0.04206,0.05298,0.06390,0.06826,0.06826,0.06826,0.06826
"Medium","Daegu","31 Years",0.07534,0.05066,0.06240,0.07412,0.07822,0.07822,0.07822,0.07822
"Medium","Daegu","32 Years",0.08604,0.05758,0.07007,0.08254,0.08600,0.08600,0.08600,0.08600
"Medium","Daegu","33 Years",0.08145,0.06170,0.07484,0.08793,0.09062,0.09062,0.09062,0.09062
"Medium","Daegu","34 Years",0.07652,0.06228,0.07581,0.08930,0.09218,0.09137,0.09137,0.09137
"Medium","Daegu","35 Years",0.06483,0.05916,0.07264,0.08606,0.08935,0.08802,0.08802,0.08802
"Medium","Daegu","36 Years",0.05022,0.05283,0.06561,0.07833,0.08212,0.08087,0.08087,0.08087
"Medium","Daegu","37 Years",0.03733,0.04431,0.05565,0.06691,0.07112,0.07076,0.07076,0.07076
"Medium","Daegu","38 Years",0.03314,0.03486,0.04411,0.05329,0.05765,0.05885,0.05885,0.05885
"Medium","Daegu","39 Years",0.02133,0.02569,0.03250,0.03924,0.04338,0.04591,0.04644,0.04644
"Medium","Daegu","40 Years",0.01420,0.01772,0.02212,0.02647,0.03001,0.03328,0.03469,0.03469
"Medium","Daegu","41 Years",0.00966,0.01142,0.01382,0.01619,0.01888,0.02221,0.02448,0.02448
"Medium","Daegu","42 Years",0.00529,0.00686,0.00788,0.00888,0.01067,0.01349,0.01628,0.01628
"Medium","Daegu","43 Years",0.00350,0.00384,0.00408,0.00431,0.00534,0.00737,0.01017,0.01017
"Medium","Daegu","44 Years",0.00108,0.00200,0.00192,0.00184,0.00233,0.00357,0.00547,0.00596
"Medium","Daegu","45 Years",0.00040,0.00097,0.00083,0.00068,0.00087,0.00151,0.00262,0.00327
"Medium","Daegu","46 Years",0.00011,0.00043,0.00054,0.00064,0.00027,0.00054,0.00110,0.00145
"Medium","Daegu","47 Years",0.00000,0.00018,0.00015,0.00012,0.00007,0.00017,0.00039,0.00056
"Medium","Daegu","48 Years",0.00000,0.00007,0.00007,0.00007,0.00001,0.00004,0.00012,0.00018
"Medium","Daegu","49 Years",0.00000,0.00002,0.00002,0.00001,0.00002,0.00001,0.00003,0.00005
"Medium","Incheon","TFR",0.75,0.64,0.80,0.97,1.03,1.05,1.06,1.06
